name,restaurant_id,item_category_id,price,image,is_recommended,is_popular,is_new,desc,is_veg
Centro,1,JUAZ3,0,NULL,0,0,0,NULL,0
Castelo Branco,1,JUAZ3,0,NULL,0,0,0,NULL,0
Cajueiro,1,JUAZ3,0,NULL,0,0,0,NULL,0
Centenario,1,JUAZ3,0,NULL,0,0,0,NULL,0
Cidade Universitária,1,JUAZ3,0,NULL,0,0,0,NULL,0
Coreia,1,JUAZ3,0,NULL,0,0,0,NULL,0
Dom Jose Rodrigues,1,JUAZ3,0,NULL,0,0,0,NULL,0
Dom Tomaz,1,JUAZ3,0,NULL,0,0,0,NULL,0
Expedito de Almeida Nascimento,1,JUAZ3,0,NULL,0,0,0,NULL,0
Itaberaba,1,JUAZ3,0,NULL,0,0,0,NULL,0
Jardim Primavera,1,JUAZ3,0,NULL,0,0,0,NULL,0
João XXIII,1,JUAZ3,0,NULL,0,0,0,NULL,0
Jardim Vitoria,1,JUAZ3,0,NULL,0,0,0,NULL,0
Jardim Florida,1,JUAZ3,0,NULL,0,0,0,NULL,0
Jardim Universitario,1,JUAZ3,0,NULL,0,0,0,NULL,0
Jardim Novo Encontro,1,JUAZ3,0,NULL,0,0,0,NULL,0
Jardim Das Acacias,1,JUAZ3,0,NULL,0,0,0,NULL,0
João Paulo II,1,JUAZ3,0,NULL,0,0,0,NULL,0
Lomanto Junior,1,JUAZ3,0,NULL,0,0,0,NULL,0
Malhada da Areia,1,JUAZ3,0,NULL,0,0,0,NULL,0
Monte Castelo,1,JUAZ3,0,NULL,0,0,0,NULL,0
Monte Cerrat,1,JUAZ3,0,NULL,0,0,0,NULL,0
Matatu,1,JUAZ3,0,NULL,0,0,0,NULL,0
Maringá,1,JUAZ3,0,NULL,0,0,0,NULL,0
Nossa Senhora Das Grotas,1,JUAZ3,0,NULL,0,0,0,NULL,0
Nossa Senhora Da Penha,1,JUAZ3,0,NULL,0,0,0,NULL,0
Padre Vicente (CODEVASF),1,JUAZ3,0,NULL,0,0,0,NULL,0
Piranga,1,JUAZ3,0,NULL,0,0,0,NULL,0
Piranga II,1,JUAZ3,0,NULL,0,0,0,NULL,0
Quide,1,JUAZ3,0,NULL,0,0,0,NULL,0
Residencial São Francisco,1,JUAZ3,0,NULL,0,0,0,NULL,0
Residencial Praia Do Rodeadouro,1,JUAZ3,0,NULL,0,0,0,NULL,0
Residencial Brisa Da Serra,1,JUAZ3,0,NULL,0,0,0,NULL,0
Residencial Doutor Humberto,1,JUAZ3,0,NULL,0,0,0,NULL,0
Residencial Mairi,1,JUAZ3,0,NULL,0,0,0,NULL,0
Residencial Juazeiro I,1,JUAZ3,0,NULL,0,0,0,NULL,0
Residencial Juazeiro II,1,JUAZ3,0,NULL,0,0,0,NULL,0
Residencial Juazeiro III,1,JUAZ3,0,NULL,0,0,0,NULL,0
Sol Levante,1,JUAZ3,0,NULL,0,0,0,NULL,0
Sol Nascente,1,JUAZ3,0,NULL,0,0,0,NULL,0
São Geraldo,1,JUAZ3,0,NULL,0,0,0,NULL,0
Tabuleiro,1,JUAZ3,0,NULL,0,0,0,NULL,0
Tancredo Neves,1,JUAZ3,0,NULL,0,0,0,NULL,0
Vila Tiradentes,1,JUAZ3,0,NULL,0,0,0,NULL,0
Vila Mandacaru,1,JUAZ3,0,NULL,0,0,0,NULL,0
